TestName,Tool,Group,Pass,ExitCode,Tags,InputBytes,AllowedTimeout,TimeUser,TimeSystem,TimeWall,RamUsageMiB
associative-arrays-literals,Yosys,,False,1,7.8 7.9.11,638,30,0.004921,0.005047,0.009968,15.195
associative-arrays-string,Yosys,,False,1,7.8 7.8.2,388,30,0.00652,0.003141,0.009661,15.586
associative-arrays-allocating-elements,Yosys,,False,1,7.8 7.9.1 7.8.7,574,30,0.003752,0.005905,0.009657,15.316
associative-arrays-prev,Yosys,,False,1,7.9 7.9.7,730,30,0.003904,0.006497,0.010401,15.086
associative-arrays-size,Yosys,,False,1,7.9 7.9.1,709,30,0.003307,0.006778,0.010085,15.125
associative-arrays-delete,Yosys,,False,1,7.9 7.9.2,714,30,0.006763,0.004064,0.010827,15.438
associative-arrays-exists,Yosys,,False,1,7.9.3 7.9,651,30,0.003945,0.00629,0.010235,15.766
associative-arrays-next,Yosys,,False,1,7.9 7.9.6,731,30,0.0061,0.004144,0.010244,15.266
associative-arrays-last,Yosys,,False,1,7.9 7.9.5,738,30,0.005262,0.005058,0.01032,15.109
associative-arrays-arg-traversal,Yosys,,False,1,7.9 7.9.8,607,30,0.005898,0.004801,0.010699,15.277
associative-arrays-num,Yosys,,False,1,7.9 7.9.1,703,30,0.004788,0.004951,0.009739,15.332
associative-arrays-first,Yosys,,False,1,7.9 7.9.4,742,30,0.004409,0.005738,0.010147,15.402
operations-on-unpacked-arrays-equality,Yosys,,False,1,7.4.3,946,30,0.003752,0.006131,0.009883,15.234
operations-on-unpacked-arrays-rw,Yosys,,False,1,7.4.3,943,30,0.006176,0.004417,0.010593,15.113
operations-on-unpacked-arrays-slice-equality,Yosys,,False,1,7.4.3,978,30,0.006898,0.002935,0.009833,15.164
operations-on-unpacked-arrays-variable-slice-rw,Yosys,,False,1,7.4.3 7.4.6,1059,30,0.002836,0.007244,0.01008,15.285
operations-on-unpacked-arrays-one-bit,Yosys,,False,1,7.4.3,1006,30,0.002032,0.008066,0.010098,15.172
array-unpacked-assignments,Yosys,,False,1,7.4.2 7.6,610,30,0.005859,0.003909,0.009768,15.555
